"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2024-01-03,NA,"X2","HRM",67
2024-01-03,"23:56:00","X2","HRX",80
2024-01-03,"12:30:00","X2","HRN",55
2024-01-03,NA,"X4","TM",15.7
2024-01-03,"13:08:00","X4","TX",18.9
2024-01-03,"06:42:00","X4","TN",13.1
2024-01-03,NA,"X4","HRM",58
2024-01-03,"18:50:00","X4","HRX",65
2024-01-03,"02:14:00","X4","HRN",51
2024-01-03,NA,"X4","PM",1010.9
2024-01-03,"23:00:00","X4","PX",1013.7
2024-01-03,"14:04:00","X4","PN",1008.7
2024-01-03,NA,"X4","PPT",0
2024-01-03,NA,"X4","RS24h",2.7
2024-01-03,NA,"X4","VVM10",1.7
2024-01-03,NA,"X4","DVM10",265
2024-01-03,"11:15:00","X4","VVX10",10.8
2024-01-03,"11:15:00","X4","DVVX10",269
2024-01-03,NA,"X8","TM",15.1
2024-01-03,"12:57:00","X8","TX",18.6
2024-01-03,"06:43:00","X8","TN",11.3
2024-01-03,NA,"X8","HRM",60
2024-01-03,"19:28:00","X8","HRX",70
2024-01-03,"00:08:00","X8","HRN",48
2024-01-03,NA,"X8","PM",1005.2
2024-01-03,"23:19:00","X8","PX",1007.8
2024-01-03,"13:37:00","X8","PN",1002.9
2024-01-03,NA,"X8","PPT",0
2024-01-03,NA,"X8","RS24h",2.7
2024-01-03,NA,"X8","VVM10",1.8
2024-01-03,NA,"X8","DVM10",277
2024-01-03,"11:40:00","X8","VVX10",10.3
2024-01-03,"11:40:00","X8","DVVX10",302
2024-01-04,NA,"D5","TM",11.9
2024-01-04,"13:58:00","D5","TX",17.1
2024-01-04,"07:41:00","D5","TN",9.8
2024-01-04,NA,"D5","HRM",85
2024-01-04,"08:03:00","D5","HRX",100
2024-01-04,"13:50:00","D5","HRN",62
2024-01-04,NA,"D5","PM",966.1
2024-01-04,"09:46:00","D5","PX",969.9
2024-01-04,"23:45:00","D5","PN",959
