"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2022,1,1,57,"V",52,"V",34,"V",22,"V",18,"V",18,"V",14,"V",17,"V",22,"V",15,"V",16,"V",8,"V",9,"V",11,"V",5,"V",4,"V",3,"V",2,"V",1,"V",1,"V",4,"V",16,"V",27,"V",28,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,2,24,"V",16,"V",6,"V",10,"V",11,"V",10,"V",9,"V",12,"V",12,"V",19,"V",21,"V",18,"V",6,"V",7,"V",4,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",5,"V",18,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,3,15,"V",13,"V",10,"V",6,"V",7,"V",8,"V",17,"V",35,"V",63,"V",75,"V",NA,"N",NA,"N",27,"V",27,"V",11,"V",6,"V",6,"V",8,"V",8,"V",6,"V",13,"V",22,"V",27,"V",13,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,4,43,"V",25,"V",1,"V",1,"V",2,"V",2,"V",8,"V",18,"V",84,"V",115,"V",121,"V",127,"V",56,"V",54,"V",40,"V",39,"V",24,"V",20,"V",23,"V",26,"V",54,"V",21,"V",22,"V",13,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,5,27,"V",12,"V",1,"V",1,"V",3,"V",1,"V",2,"V",3,"V",12,"V",7,"V",5,"V",6,"V",5,"V",5,"V",5,"V",5,"V",3,"V",12,"V",4,"V",3,"V",8,"V",6,"V",8,"V",11,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,6,4,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",3,"V",4,"V",4,"V",4,"V",3,"V",2,"V",1,"V",1,"V",3,"V",2,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,7,1,"V",2,"V",1,"V",1,"V",3,"V",1,"V",2,"V",8,"V",24,"V",42,"V",60,"V",42,"V",11,"V",11,"V",7,"V",6,"V",4,"V",10,"V",28,"V",72,"V",100,"V",121,"V",41,"V",19,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,8,20,"V",5,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",10,"V",11,"V",5,"V",5,"V",3,"V",3,"V",2,"V",6,"V",8,"V",3,"V",4,"V",4,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,9,1,"V",4,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",3,"V",2,"V",2,"V",2,"V",2,"V",2,"V",2,"V",3,"V",1,"V",1,"V",1,"V",2,"V",1,"V",3,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,10,7,"V",5,"V",1,"V",1,"V",2,"V",2,"V",3,"V",27,"V",20,"V",13,"V",38,"V",28,"V",3,"V",2,"V",2,"V",3,"V",5,"V",5,"V",7,"V",9,"V",6,"V",3,"V",2,"V",7,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,11,22,"V",4,"V",14,"V",20,"V",16,"V",16,"V",16,"V",30,"V",32,"V",51,"V",85,"V",73,"V",45,"V",35,"V",23,"V",13,"V",10,"V",30,"V",63,"V",52,"V",51,"V",57,"V",59,"V",13,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,12,6,"V",1,"V",2,"V",1,"V",5,"V",3,"V",7,"V",35,"V",71,"V",50,"V",39,"V",25,"V",3,"V",4,"V",3,"V",2,"V",5,"V",2,"V",2,"V",2,"V",2,"V",7,"V",17,"V",21,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,13,25,"V",25,"V",16,"V",10,"V",10,"V",20,"V",21,"V",47,"V",69,"V",45,"V",44,"V",51,"V",27,"V",17,"V",11,"V",7,"V",4,"V",3,"V",3,"V",26,"V",46,"V",38,"V",34,"V",31,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,1,14,19,"V",10,"V",5,"V",4,"V",5,"V",7,"V",13,"V",36,"V",60,"V",48,"V",36,"V",55,"V",30,"V",11,"V",3,"V",2,"V",2,"V",2,"V",35,"V",42,"V",98,"V",65,"V",64,"V",60,"V"
