"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2023,1,1,24,"V",28,"V",20,"V",9,"V",13,"V",14,"V",7,"V",10,"V",5,"V",10,"V",11,"V",12,"V",11,"V",5,"V",7,"V",3,"V",2,"V",3,"V",5,"V",37,"V",51,"V",54,"V",40,"V",26,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,2,12,"V",13,"V",13,"V",9,"V",5,"V",7,"V",11,"V",31,"V",56,"V",61,"V",41,"V",50,"V",48,"V",46,"V",48,"V",31,"V",23,"V",12,"V",15,"V",22,"V",29,"V",26,"V",97,"V",65,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,3,68,"V",31,"V",31,"V",24,"V",20,"V",16,"V",26,"V",51,"V",63,"V",67,"V",64,"V",79,"V",66,"V",43,"V",NA,"N",NA,"N",11,"V",6,"V",19,"V",6,"V",3,"V",2,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,4,1,"V",1,"V",1,"V",2,"V",3,"V",7,"V",16,"V",33,"V",54,"V",72,"V",46,"V",33,"V",18,"V",14,"V",12,"V",12,"V",16,"V",17,"V",16,"V",26,"V",69,"V",36,"V",16,"V",22,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,5,22,"V",9,"V",5,"V",4,"V",8,"V",6,"V",11,"V",36,"V",52,"V",84,"V",88,"V",55,"V",26,"V",23,"V",24,"V",19,"V",6,"V",3,"V",2,"V",6,"V",33,"V",73,"V",13,"V",7,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,6,1,"V",2,"V",1,"V",2,"V",2,"V",1,"V",4,"V",6,"V",10,"V",13,"V",14,"V",12,"V",9,"V",7,"V",4,"V",2,"V",1,"V",2,"V",21,"V",51,"V",68,"V",63,"V",49,"V",37,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,7,29,"V",31,"V",19,"V",5,"V",1,"V",2,"V",4,"V",7,"V",12,"V",18,"V",30,"V",4,"V",3,"V",3,"V",4,"V",3,"V",2,"V",2,"V",1,"V",1,"V",1,"V",4,"V",6,"V",20,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,8,16,"V",14,"V",30,"V",8,"V",2,"V",2,"V",1,"V",3,"V",2,"V",16,"V",7,"V",7,"V",7,"V",7,"V",13,"V",3,"V",12,"V",23,"V",9,"V",21,"V",30,"V",22,"V",11,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,9,13,"V",9,"V",3,"V",2,"V",1,"V",2,"V",3,"V",1,"V",3,"V",5,"V",4,"V",5,"V",4,"V",3,"V",4,"V",2,"V",2,"V",1,"V",2,"V",1,"V",2,"V",1,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,10,1,"V",3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",12,"V",30,"V",16,"V",17,"V",7,"V",5,"V",5,"V",5,"V",4,"V",4,"V",5,"V",3,"V",7,"V",4,"V",15,"V",44,"V",60,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,11,42,"V",18,"V",2,"V",2,"V",5,"V",7,"V",21,"V",39,"V",38,"V",NA,"N",NA,"N",9,"V",7,"V",5,"V",6,"V",9,"V",8,"V",13,"V",21,"V",28,"V",30,"V",16,"V",30,"V",35,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,12,20,"V",14,"V",5,"V",5,"V",1,"V",3,"V",8,"V",7,"V",6,"V",9,"V",11,"V",9,"V",7,"V",6,"V",12,"V",12,"V",10,"V",6,"V",4,"V",4,"V",17,"V",6,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,13,2,"V",2,"V",4,"V",1,"V",1,"V",1,"V",6,"V",18,"V",38,"V",65,"V",64,"V",32,"V",8,"V",6,"V",14,"V",2,"V",16,"V",12,"V",33,"V",93,"V",121,"V",63,"V",62,"V",61,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,14,45,"V",40,"V",33,"V",13,"V",13,"V",9,"V",19,"V",27,"V",30,"V",59,"V",30,"V",11,"V",8,"V",13,"V",8,"V",6,"V",4,"V",2,"V",5,"V",5,"V",6,"V",15,"V",8,"V",9,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,15,29,"V",16,"V",2,"V",3,"V",3,"V",1,"V",3,"V",2,"V",1,"V",2,"V",1,"V",4,"V",2,"V",3,"V",1,"V",2,"V",5,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,16,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",6,"V",5,"V",5,"V",9,"V",5,"V",NA,"N",NA,"N",NA,"N",3,"V",5,"V",6,"V",3,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,17,2,"V",3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",5,"V",3,"V",5,"V",7,"V",2,"V",2,"V",2,"V",2,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,1,18,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",3,"V",3,"V",4,"V",5,"V",6,"V",6,"V",6,"V",3,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
