"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2022,2,1,57,"V",44,"V",18,"V",2,"V",6,"V",11,"V",27,"V",59,"V",113,"V",65,"V",15,"V",8,"V",12,"V",10,"V",6,"V",8,"V",8,"V",3,"V",4,"V",30,"V",69,"V",63,"V",27,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,2,1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",12,"V",31,"V",48,"V",40,"V",13,"V",5,"V",5,"V",4,"V",4,"V",4,"V",2,"V",2,"V",8,"V",68,"V",111,"V",64,"V",35,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,3,32,"V",34,"V",22,"V",17,"V",9,"V",18,"V",41,"V",55,"V",111,"V",136,"V",89,"V",83,"V",28,"V",17,"V",22,"V",16,"V",9,"V",14,"V",19,"V",15,"V",5,"V",2,"V",13,"V",21,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,4,25,"V",27,"V",16,"V",10,"V",13,"V",18,"V",23,"V",51,"V",84,"V",113,"V",133,"V",108,"V",60,"V",15,"V",6,"V",5,"V",6,"V",3,"V",2,"V",2,"V",2,"V",9,"V",6,"V",25,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,5,6,"V",42,"V",39,"V",17,"V",8,"V",19,"V",35,"V",26,"V",26,"V",28,"V",30,"V",34,"V",5,"V",2,"V",3,"V",1,"V",NA,"N",1,"V",2,"V",4,"V",13,"V",33,"V",34,"V",41,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,6,42,"V",21,"V",10,"V",6,"V",3,"V",3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",3,"V",3,"V",2,"V",3,"V",2,"V",2,"V",2,"V",2,"V",3,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,7,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",11,"V",11,"V",26,"V",9,"V",8,"V",13,"V",6,"V",5,"V",5,"V",4,"V",3,"V",23,"V",16,"V",62,"V",64,"V",90,"V",64,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,8,43,"V",33,"V",17,"V",16,"V",17,"V",19,"V",24,"V",40,"V",72,"V",94,"V",98,"V",68,"V",14,"V",7,"V",5,"V",7,"V",6,"V",5,"V",4,"V",4,"V",4,"V",1,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,9,30,"V",30,"V",28,"V",19,"V",5,"V",9,"V",21,"V",50,"V",87,"V",89,"V",32,"V",11,"V",10,"V",6,"V",4,"V",6,"V",6,"V",4,"V",6,"V",3,"V",4,"V",5,"V",34,"V",15,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,10,4,"V",15,"V",29,"V",25,"V",12,"V",8,"V",18,"V",51,"V",83,"V",84,"V",96,"V",65,"V",24,"V",13,"V",7,"V",4,"V",3,"V",3,"V",3,"V",3,"V",10,"V",51,"V",45,"V",48,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,11,31,"V",15,"V",19,"V",10,"V",9,"V",17,"V",31,"V",53,"V",77,"V",114,"V",110,"V",71,"V",40,"V",22,"V",24,"V",8,"V",4,"V",5,"V",4,"V",7,"V",21,"V",49,"V",22,"V",16,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,12,13,"V",5,"V",1,"V",1,"V",1,"V",2,"V",4,"V",16,"V",23,"V",37,"V",12,"V",2,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",2,"V",8,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,13,7,"V",5,"V",4,"V",9,"V",7,"V",11,"V",15,"V",26,"V",22,"V",3,"V",5,"V",3,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,14,1,"V",3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",6,"V",30,"V",33,"V",17,"V",9,"V",6,"V",4,"V",3,"V",4,"V",2,"V",2,"V",2,"V",1,"V",2,"V",1,"V",1,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,15,4,"V",2,"V",2,"V",1,"V",1,"V",2,"V",2,"V",3,"V",7,"V",5,"V",14,"V",7,"V",7,"V",NA,"N",NA,"N",NA,"N",4,"V",3,"V",4,"V",2,"V",1,"V",1,"V",1,"V",7,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,16,8,"V",7,"V",10,"V",4,"V",8,"V",7,"V",12,"V",41,"V",46,"V",7,"V",6,"V",5,"V",9,"V",6,"V",6,"V",6,"V",22,"V",11,"V",6,"V",20,"V",29,"V",38,"V",61,"V",63,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,17,61,"V",52,"V",33,"V",6,"V",11,"V",9,"V",5,"V",8,"V",24,"V",18,"V",10,"V",7,"V",8,"V",8,"V",11,"V",13,"V",17,"V",29,"V",17,"V",7,"V",2,"V",6,"V",1,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2022,2,18,12,"V",54,"V",23,"V",18,"V",16,"V",11,"V",34,"V",57,"V",89,"V",136,"V",23,"V",17,"V",25,"V",13,"V",5,"V",4,"V",4,"V",5,"V",4,"V",2,"V",3,"V",2,"V",1,"V",1,"V"
